;Year;Month;Day;Name;CountTrades(K);OpenPrice;LowPrice;HighPrice;ClosePrice;WAPrice;VOLUMERUB
9;Год: 2021;Месяц: 3;День: 16;Доллар США-российский рубль__CETS;62.965;72,9475;72,53;73,0625;72,85;72,8184;249883568740.0
13;Год: 2021;Месяц: 3;День: 17;Доллар США-российский рубль__CETS;85.682;72,93;72,8875;74,22;73,64;73,6368;389051218137.5
5;Год: 2021;Месяц: 3;День: 15;Евро-российский рубль__CETS;8.231;87,7975;86,8525;87,9;86,88;87,2055;20909602367.5
9;Год: 2021;Месяц: 3;День: 16;Евро-российский рубль__CETS;8.133;86,88;86,515;87,125;86,75;86,8497;26196044157.5
13;Год: 2021;Месяц: 3;День: 17;Евро-российский рубль__CETS;11.041;86,8125;86,75;88,3525;88,225;87,7731;38013912862.5
3;Год: 2021;Месяц: 3;День: 18;Юань-российский рубль__CETS;0.282;11,3669;11,3142;11,435;11,4315;11,3479;348313377.0
6;Год: 2021;Месяц: 3;День: 19;Юань-российский рубль__CETS;0.281;11,3931;11,33;11,4341;11,4005;11,3796;725504870.0
9;Год: 2021;Месяц: 3;День: 22;Юань-российский рубль__CETS;0.364;11,393;11,393;11,54;11,5165;11,4621;409597836.0
5;Год: 2021;Месяц: 3;День: 18;Доллар США-российский рубль__CETS;66.92;73,605;73,43;74,4025;74,3025;73,9113;306172372227.5
9;Год: 2021;Месяц: 3;День: 19;Доллар США-российский рубль__CETS;64.669;74,3025;73,74;74,48;74,115;74,1109;314940757727.5
13;Год: 2021;Месяц: 3;День: 22;Доллар США-российский рубль__CETS;64.655;74,375;74,175;75,0975;74,94;74,6307;276959733572.5
5;Год: 2021;Месяц: 3;День: 18;Евро-российский рубль__CETS;7.537;88,0225;87,755;88,64;88,62;88,2224;27531568247.5
9;Год: 2021;Месяц: 3;День: 19;Евро-российский рубль__CETS;7.25;88,62;87,7275;88,755;88,22;88,2056;34150454965.0
13;Год: 2021;Месяц: 3;День: 22;Евро-российский рубль__CETS;9.47;88,3925;88,3;89,605;89,4225;88,844;42511214740.0
3;Год: 2021;Месяц: 3;День: 23;Юань-российский рубль__CETS;0.589;11,5324;11,53;11,7171;11,71;11,6284;1031604158.2
6;Год: 2021;Месяц: 3;День: 24;Юань-российский рубль__CETS;0.444;11,6961;11,6154;11,7999;11,7235;11,6837;600579725.5
9;Год: 2021;Месяц: 3;День: 25;Юань-российский рубль__CETS;0.341;11,6961;11,59;11,7061;11,63;11,6589;957196368.9
12;Год: 2021;Месяц: 3;День: 26;Юань-российский рубль__CETS;0.269;11,6189;11,558;11,64;11,568;11,5947;490665568.6
5;Год: 2021;Месяц: 3;День: 23;Доллар США-российский рубль__CETS;94.336;74,98;74,915;76,4;76,39;75,8515;380385355002.5
9;Год: 2021;Месяц: 3;День: 24;Доллар США-российский рубль__CETS;77.708;76,255;75,695;76,98;76,5775;76,2081;336254210360.0
13;Год: 2021;Месяц: 3;День: 25;Доллар США-российский рубль__CETS;64.82;76,0;75,735;76,645;76,21;76,1762;269301229747.5
